feature,importance
ranking_diff_proxy,0.1990768637480502
year,0.1482309042582856
away_rank_proxy,0.14423433522192353
home_rank_proxy,0.14198155495357465
form_score_last10,0.09895940310158377
form_score_last10_away,0.09712259231227881
win_rate_last10,0.04027995318749814
win_rate_last10_away,0.038990693790442274
wins_last10_count,0.036844334364560236
wins_last10_count_away,0.036781686837063905
home_advantage,0.017497678224738793
